"speaker","text","expressions"
"妖夢","ううっ、不覚……。 斬っても斬っても手応えがなくて、 まるで幻を相手にしているようでした","ressei"
"鈴仙","幻を相手にしていたのよ。 貴方の剣は真っ直ぐすぎるの。 真っ直ぐなものは、波長を少し捻るだけで簡単に逸らせるわ","warai"
"妖夢","波長を捻る……。 剣筋を曲げられたつもりはなかったのですが、 気がついたら足元が覚束なくなっていました","ressei"
"鈴仙","それが私の狂気。 貴方、半分幽霊だから少しは耐性があるかと思ったけど、 案外、感受性が豊かなのね","warai"
"妖夢","感受性、ですか？ 私はただ、迷わずに斬れと教わってきただけで……。 でも、今の勝負で自分の未熟さがよく分かりました","ressei"
"鈴仙","未熟というより、素直すぎるのよ。 冥界の住人なら、もう少し世の中の不条理に 慣れているものだと思っていたけれど","warai"
"妖夢","不条理……。 白玉楼では、お嬢様の気まぐれが最大の不条理ですから、 外の刺激には疎いのかもしれません",""
"鈴仙","あはは、それは同情するわ。 うちの姫様や師匠も、大概な不条理を押し付けてくるしね。 お互い、苦労するわね","warai"
"妖夢","それなら次は、斬り合うのではなく お茶でも飲みながらお話ししたいものですね","warai"
"鈴仙","それもいいわね。","warai"
